id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>
34	"abel c.f., sementelli a.j., justice and public administration, (2007)"	1.1508	-0.0107	1	80	399	3
67	"adams j.s., inequity in social exchange, advances in experimental social psychology, 2, pp. 267-299, (1965)"	1.1588	0.0027	1	80	399	3
68	"adams j.s., towards an understanding of inequity, journal of abnormal and social psychology, 67, pp. 422-436, (1963)"	1.1427	-0.0068	1	80	399	3
169	"ajzen i., the theory of planned behavior, organizational behavior and human decision processes, 50, 2, pp. 179-211, (1991)"	-0.827	0.0562	5	12	13	4
170	"ajzen i., the theory of planned behavior, organizational behavior and human decision processes, 50, pp. 179-211, (1991)"	-0.7629	-0.0277	3	8	9	3
215	"al-tayeb m., organizations and national culture: a comparative analysis, (1988)"	-1.2447	-0.0018	4	11	25	3
222	"al-zu'bi h.a., a study of relationship between organizational justice and job satisfaction, international journal of business and management, 5, 12, pp. 102-109, (2010)"	1.1417	-0.009	1	80	399	3
260	"ali a., cultural discontinuity and arab management thoughts, international studies of management and organization, 25, 3, pp. 7-30, (1995)"	-1.2456	-0.001	4	11	25	3
479	"arndt j., on making marketing science more scientific: roles of orientations, paradigms, metaphors, and puzzle solving, journal of marketing, 3, pp. 11-23, (1985)"	-1.2454	-0.0017	4	11	25	3
698	"bandura a., self-efficacy: toward a unifying theory of behavioural change, psychological review, 84, pp. 191-215, (1977)"	1.1501	0.0116	1	80	399	3
752	"barney j., firm resources and sustained competitive advantage, journal of management, 17, 1, pp. 99-120, (1991)"	-0.7464	0.0247	2	5	5	3
761	"baron r.m., kenny d.a., the moderator-mediator variable distinction in social psychological research: conceptual, strategic, and statistical considerations, journal of personality and social psychology, 51, pp. 1173-1182, (1986)"	1.1542	-0.0092	1	80	399	3
904	"begley t.m., lee c., fang y., li j., power distance as a moderator of the relationship between justice and employee outcomes in a sample of chinese employees, journal of managerial psychology, 17, 8, pp. 692-711, (2002)"	1.151	0.009	1	80	399	3
993	"bertsch a.m., validating globe's societal values scales: a test in the usa, international journal of business and social science, 3, 8, pp. 10-23, (2012)"	1.1428	0.0102	1	80	399	3
1131	"bochner s., hesketh b., power distance, individualism/collectivism, and job-related attitudes in a culturally diverse work group, journal of cross-cultural psychology, 25, 2, pp. 233-257, (1994)"	-0.8089	0.0114	2	12	12	3
1164	"bond m.h., finding universal dimensions of individual variation in multicultural studies of values: the rokeach and chinese value surveys, journal of personality and social psychology, 55, 6, pp. 1009-1015, (1988)"	1.1505	-0.0083	1	80	399	3
1177	"boonghee y., donthu n., lenartowicz t., measuring hofstede's five dimensions of cultural values at the individual level: development and validation of cvscale, journal of international consumer marketing, 23, 3, pp. 193-210, (2011)"	1.1389	-0.0063	1	80	399	3
1237	"bowerman b.l., o'connell r.t., linear statistical models: an applied approach, (1990)"	0.8406	-0.0002	1	88	407	4
1269	"bradley j., management based critical success factors in the implementation of enterprise resource planning systems, international journal of accounting information systems, 9, pp. 175-200, (2008)"	-0.7833	-0.0724	6	6	9	3
